date,rainfall_mm,Q_in_m3day,C_in_mgL,C_reservoir_mgL
2025-08-03,0.2,92491.0,39.3,29.18
2025-08-04,0.0,101097.0,39.96,29.22
2025-08-05,0.0,105922.0,39.09,29.17
2025-08-06,0.0,94012.0,39.59,29.11
2025-08-07,0.87,105504.0,39.09,29.28
2025-08-08,0.0,103968.0,38.23,29.43
2025-08-09,0.34,106969.0,38.02,29.46
2025-08-10,0.0,105267.0,37.47,29.68
2025-08-11,20.42,151876.0,38.07,29.62
2025-08-12,0.0,146356.0,38.58,29.86
2025-08-13,1.06,154596.0,40.16,29.94
2025-08-14,0.0,107268.0,41.28,30.4
2025-08-15,0.26,100815.0,43.82,30.19
2025-08-16,1.21,100463.0,38.66,30.05
2025-08-17,0.0,94827.0,40.86,30.07
2025-08-18,1.63,116340.0,41.19,30.1
2025-08-19,0.0,108475.0,38.69,30.36
2025-08-20,33.86,198477.0,44.49,30.31
2025-08-21,1.57,199303.0,42.97,30.5
2025-08-22,1.19,200530.0,46.36,30.74
2025-08-23,3.1,114402.0,45.29,30.82
2025-08-24,0.0,110621.0,41.75,30.65
2025-08-25,0.0,106121.0,40.52,30.82
2025-08-26,12.06,145335.0,44.87,31.01
2025-08-27,1.3,138401.0,41.34,31.09
2025-08-28,1.08,136174.0,42.48,31.12
2025-08-29,0.51,110011.0,42.86,31.12
2025-08-30,0.0,99170.0,39.81,31.06
2025-08-31,1.55,113020.0,41.77,31.13
2025-09-01,0.0,100840.0,37.92,31.08
2025-09-02,2.2,112506.0,39.72,30.92
2025-09-03,13.4,146909.0,44.78,30.77
2025-09-04,1.06,146339.0,43.59,30.66
2025-09-05,1.42,142812.0,42.37,30.7
2025-09-06,0.0,106670.0,43.99,30.66
2025-09-07,19.05,154292.0,45.11,30.71
2025-09-08,0.0,147910.0,43.76,30.79
2025-09-09,0.0,148546.0,45.03,30.71
2025-09-10,0.0,107398.0,42.2,30.9
2025-09-11,3.32,108303.0,44.24,30.83
2025-09-12,1.18,108055.0,41.5,30.73
2025-09-13,1.37,113061.0,39.21,30.77
2025-09-14,0.37,113298.0,40.69,30.46
2025-09-15,11.57,138889.0,47.15,30.35
2025-09-16,2.36,140941.0,44.76,30.51
2025-09-17,0.9,138253.0,41.4,30.24
2025-09-18,1.78,116306.0,41.1,30.38
2025-09-19,0.73,105883.0,44.09,30.58
2025-09-20,0.55,106872.0,46.19,30.5
2025-09-21,3.15,116677.0,42.87,30.52
2025-09-22,0.0,114251.0,45.82,30.67
2025-09-23,0.79,105615.0,43.86,30.57
2025-09-24,1.31,101332.0,44.23,30.67
2025-09-25,17.21,152037.0,42.67,30.58
2025-09-26,1.26,161368.0,47.05,30.53
2025-09-27,1.43,143488.0,44.72,30.42
2025-09-28,0.0,108573.0,47.07,30.45
2025-09-29,43.21,212175.0,48.79,30.71
2025-09-30,2.1,217649.0,48.99,30.77
2025-10-01,2.11,224626.0,49.48,30.68
2025-10-02,7.41,128875.0,49.21,30.52
2025-10-03,56.68,273856.0,57.15,30.77
2025-10-04,3.2,279468.0,51.02,31.21
2025-10-05,2.88,264672.0,50.37,31.41
2025-10-06,1.62,113212.0,54.82,31.35
2025-10-07,1.11,118837.0,52.96,31.47
2025-10-08,0.91,113454.0,42.64,31.4
2025-10-09,2.6,116538.0,45.22,31.33
2025-10-10,2.24,107654.0,42.51,31.15
2025-10-11,3.59,123994.0,41.85,31.34
2025-10-12,2.25,124924.0,46.4,30.95
2025-10-13,3.33,119273.0,41.18,31.04
2025-10-14,2.29,121008.0,46.38,30.96
2025-10-15,3.37,123387.0,44.11,30.89
2025-10-16,3.55,133784.0,44.15,31.13
2025-10-17,61.8,292889.0,52.49,31.21
2025-10-18,0.0,265949.0,52.39,31.26
2025-10-19,4.71,289833.0,49.81,31.41
2025-10-20,2.83,115545.0,52.77,31.46
2025-10-21,0.0,125025.0,51.07,31.4
2025-10-22,1.48,116351.0,41.03,31.13
2025-10-23,3.76,108989.0,43.58,30.97
2025-10-24,5.88,132115.0,46.75,31.17
2025-10-25,1.94,130328.0,47.15,31.18
2025-10-26,4.86,136564.0,45.73,31.24
2025-10-27,1.24,122559.0,41.8,31.18
2025-10-28,1.66,126655.0,44.82,31.07
2025-10-29,3.23,116705.0,45.13,31.3
2025-10-30,3.55,121653.0,44.98,31.26
2025-10-31,3.76,133563.0,44.86,31.19
2025-11-01,4.43,134197.0,44.3,31.35
2025-11-02,3.41,134600.0,43.54,31.23
2025-11-03,3.9,128003.0,42.44,31.12
2025-11-04,2.83,121831.0,39.67,31.1
2025-11-05,18.74,165090.0,45.83,31.13
2025-11-06,55.74,303069.0,51.57,31.35
2025-11-07,3.7,312412.0,52.23,31.87
2025-11-08,4.58,275608.0,48.41,32.06
2025-11-09,4.31,132792.0,52.43,31.71
2025-11-10,3.59,140447.0,53.31,31.78
2025-11-11,15.56,169412.0,44.42,31.81
2025-11-12,3.73,162242.0,44.03,31.83
2025-11-13,3.64,157032.0,44.53,31.88
2025-11-14,4.02,138234.0,47.82,31.88
2025-11-15,7.09,139009.0,42.01,31.87
2025-11-16,3.04,138362.0,42.84,31.95
2025-11-17,4.51,137348.0,40.81,31.85
2025-11-18,5.53,130441.0,41.42,31.69
2025-11-19,4.12,130427.0,42.31,32.13
2025-11-20,10.7,157432.0,45.41,32.03
2025-11-21,3.51,144954.0,46.25,32.06
2025-11-22,18.54,202604.0,45.11,31.89
2025-11-23,2.97,161271.0,43.04,31.91
2025-11-24,3.69,160903.0,48.61,31.8
2025-11-25,4.64,132674.0,41.92,31.72
2025-11-26,5.58,144727.0,41.77,31.87
2025-11-27,4.83,140459.0,37.6,31.92
2025-11-28,6.29,147408.0,44.23,32.01
2025-11-29,4.31,131931.0,43.34,31.73
2025-11-30,3.99,135519.0,46.05,32.0
2025-12-01,8.59,139678.0,38.69,31.8
2025-12-02,5.17,137885.0,44.32,32.03
2025-12-03,3.55,146748.0,41.11,32.17
2025-12-04,5.54,126802.0,42.63,32.24
2025-12-05,3.3,126403.0,37.54,32.08
2025-12-06,6.16,137294.0,43.38,32.09
2025-12-07,4.25,132383.0,41.81,32.0
2025-12-08,5.03,143135.0,40.24,31.99
2025-12-09,4.78,139010.0,41.43,31.94
2025-12-10,6.01,146659.0,38.84,31.62
2025-12-11,3.69,142375.0,38.83,31.78
2025-12-12,3.38,140585.0,38.87,31.75
2025-12-13,5.37,133153.0,36.05,31.64
2025-12-14,5.97,140777.0,41.54,31.55
2025-12-15,5.61,147751.0,42.07,31.6
2025-12-16,3.93,142063.0,38.24,31.45
2025-12-17,6.2,139967.0,40.6,31.1
2025-12-18,4.1,136271.0,39.15,31.14
2025-12-19,4.47,135279.0,40.09,31.2
2025-12-20,3.87,135265.0,37.9,31.15
2025-12-21,28.78,198505.0,40.3,31.02
2025-12-22,6.3,200544.0,44.12,31.08
2025-12-23,6.29,207004.0,42.09,30.91
2025-12-24,7.28,146934.0,46.54,30.77
2025-12-25,9.66,166846.0,43.23,30.68
2025-12-26,2.91,153331.0,38.12,30.8
2025-12-27,4.39,140918.0,42.15,30.74
2025-12-28,4.6,135791.0,40.7,30.66
2025-12-29,4.28,132605.0,40.48,30.94
2025-12-30,6.7,134516.0,41.01,30.98
